coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt
3460.9639338691213,2625.3673217074765,2056.2942084453343,1970
3488.8846159867844,2640.2239325246105,2068.0546644266506,1980
3516.8008022290537,2655.004936926984,2079.7552705590583,1990
3544.9106971554165,2669.8610100703017,2091.5153009191254,2000
3572.887198196414,2684.7473085150027,2103.299257552205,2010
3600.9151652613273,2699.602826516689,2115.0588484635446,2020
3628.663146452798,2714.382641412903,2126.7585129858503,2030
3656.5999952080615,2729.2376470648737,2138.5176983224364,2040
3684.62566029534,2744.09241781509,2150.2766977113806,2050
3712.740142682281,2758.9469559660215,2162.0355129753125,2060
3740.6660632139333,2773.8012638023597,2173.7941459227886,2070
3768.7182514452197,2788.685411635561,2185.5764001371813,2080
3796.425055831027,2803.4571999992777,2197.2697108764282,2090
3824.6837326305567,2818.3677535857037,2209.072867819059,2100
3849.178092551203,2833.1543494563343,2220.7779001437607,2110
3869.1232953507288,2847.9115210206937,2232.4596402611787,2120
3889.24042218071,2862.7958967272707,2244.2420748595655,2130
3909.347217611571,2877.6726283787407,2256.0184584430403,2140
3929.437749412947,2892.5373268023227,2267.7853165534016,2150
3949.502965621995,2907.383294579593,2279.5373475309693,2160
3969.6000760033517,2922.2528604008344,2291.3080586611495,2170
3989.676864271077,2937.1073901795535,2303.066867297659,2180
4009.6158843612475,2951.8599872452924,2314.7449862534054,2190
4029.7003845191157,2966.7202229417235,2326.508311680111,2200
4049.8127385804546,2981.6010673447386,2338.2879509074264,2210
4069.900987297809,2996.46407654696,2350.053471834382,2220
4090.018869480445,3011.3490111282113,2361.836348836564,2230
4109.962047587162,3026.1046846511895,2373.51690310817,2240
4130.083096286628,3040.991962093157,2385.301634713038,2250
4150.192521179013,3055.87063924577,2397.079558350353,2260
4170.164331033522,3070.6474969912706,2408.776881999547,2270
4190.282354121723,3085.5325358265436,2420.5598415289523,2280
4210.268158135768,3100.3197476514315,2432.265361441504,2290
4230.395140713863,3115.2114154857077,2444.0535684699475,2300
4250.384367907574,3130.00116007249,2455.761093310483,2310
4270.520210665359,3144.8993834275643,2467.5544896728015,2320
4290.508727889202,3159.6886027177507,2479.2615986898645,2330
4310.668382999362,3174.6044444932977,2491.0689417497833,2340
4330.6612476054415,3189.3968803497005,2502.778596992622,2350
4350.679698349845,3204.2082470255446,2514.5032378248034,2360
4370.95623429196,3219.2105672644643,2526.379037020132,2370
4390.916520067899,3233.9788985083155,2538.0696111119364,2380
4410.929734684599,3248.7863910478254,2549.791185187481,2390
4434.098512957389,3265.92864020642,2563.3609467658016,2400
4457.7716481562165,3283.4440558733736,2577.226106019223,2410
4481.357062552974,3300.894568167875,2591.0398879252693,2420
4505.006878822037,3318.3927304907193,2604.891389474627,2430
4528.784010541404,3335.9850917024805,2618.8174586289542,2440
4552.606530417952,3353.6110349654855,2632.770111251091,2450
4576.226003910687,3371.0867471001557,2646.6038412876155,2460
4599.8686512737695,3388.5796052515384,2660.4511440681044,2470
4623.691051320747,3406.205459854351,2674.4037265070547,2480
4647.2494134151575,3423.6359565355274,2688.201664103632,2490
4671.072574680316,3441.262374352834,2702.1546923817673,2500
4694.692649350946,3458.738531290469,2715.988774523207,2510
4718.337511574421,3476.2330281855197,2729.837374529087,2520
4742.160486004103,3493.8593077659175,2743.790293379231,2530
4765.920993195987,3511.4393687264987,2757.7066256854746,2540
4789.541822626652,3528.9160841003372,2771.5411498836165,2550
4813.162782762745,3546.392896181261,2785.3757506348456,2560
4836.925409343583,3563.9745252475527,2799.2933242496492,2570
4860.749425933327,3581.6015759073416,2813.246853484312,2580
4884.394995296641,3599.096596005091,2827.0958676561404,2590
4908.016880464336,3616.574092503726,2840.9310101907186,2600
4931.778739354375,3634.1551535665267,2854.8481341753786,2610
4955.400991954113,3651.6329219228987,2868.683491911862,2620
4979.225347397803,3669.260223295897,2882.637219610474,2630
5002.787655503496,3686.693639574637,2896.4374683531837,2640
5026.612871224142,3704.321577454306,2910.391699908885,2650
5050.377752266786,3721.9048745647888,2924.3105939433003,2660
