coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt,cout marginal employeur,net apres impots marginal,tx prelevement marginal,tx prelevement total,revenu net imposable
1756.7098688411725,1682.5975322054453,1310.0,1310.0,13.038949718765252,10.0,0.23,0.25428784489187173,14148.0
1769.7488185599373,1695.23021485035,1320.0,1320.0,13.038949718764798,10.0,0.23,0.25413151808533296,14256.0
1782.7877682787023,1707.8628974952549,1330.0,1330.0,13.038949718765025,10.0,0.23,0.2539774779727034,14364.0
1795.8267179974673,1720.4955801401597,1340.0,1340.0,13.038949718765025,10.0,0.23,0.25382567474483897,14472.0
1808.865667716232,1733.1282627850644,1350.0,1350.0,13.038949718764798,10.0,0.23,0.2536760600287694,14580.0
1821.9046174349971,1745.7609454299693,1360.0,1360.0,13.038949718765025,10.0,0.23,0.25352858683630597,14688.0
1834.943567153762,1758.393628074874,1370.0,1370.0,13.038949718764798,10.0,0.23,0.2533832095148407,14796.0
1851.5245694939665,1771.0263107197788,1380.0,1380.0,16.581002340204577,10.0,0.4,0.2546684489812452,14904.0
1875.2907385382093,1783.6589933646835,1390.0,1390.0,23.766169044242815,10.0,0.58,0.2587817037462452,15012.0
1899.0288706065899,1796.2916760095882,1400.0,1400.0,23.738132068380537,10.0,0.58,0.26278113709690587,15120.0
1922.9160683301807,1808.924358654493,1410.0,1410.0,23.887197723590816,10.0,0.58,0.26673864068945285,15228.0
1946.588020300721,1821.5570412993977,1420.0,1420.0,23.67195197054025,10.0,0.58,0.270518466157194,15336.0
1970.4039848534135,1834.1897239443024,1430.0,1430.0,23.81596455269255,10.0,0.58,0.2742605069823244,15444.0
1994.3639619882579,1846.8224065892073,1440.0,1440.0,23.959977134844394,10.0,0.58,0.27796530623296456,15552.0
2018.0960606874073,1859.455089234112,1450.0,1450.0,23.732098699149446,10.0,0.58,0.2815009791407347,15660.0
2042.0376610144885,1872.1530850272102,1460.0517017248271,1460.0,23.941600327081233,10.0,0.58,0.28502799654071076,15768.558378628131
2065.530381645783,1884.656134043804,1469.9490840687401,1470.0,23.49272063129456,10.0,0.57,0.28831825245820697,15875.450107942394
2090.6869389586905,1898.0411187932557,1480.5446045339443,1480.0,25.156557312907353,10.0,0.6,0.2920987216163873,15989.881728966599
2118.752298431183,1912.8953830172293,1492.303202957981,1490.0,28.065359472492673,10.0,0.64,0.29675582607119666,16116.874591946196
2146.811976385262,1927.7522763312927,1504.0638825631604,1500.0,28.05967795407878,10.0,0.64,0.3012895400249299,16243.889931682133
2174.5165497287244,1942.4758824053558,1515.7190523223735,1510.0,27.70457334346247,10.0,0.64,0.3055929201749169,16369.765765081635
2202.5707974169663,1957.3572699379101,1527.4991214896747,1520.0,28.054247688241958,10.0,0.64,0.3098973880978184,16496.990512088487
2230.5746804152595,1972.2130153768173,1539.25889243975,1530.0,28.003882998293193,10.0,0.64,0.31407820853367396,16623.9960383493
2258.5484350828674,1987.0654337832582,1551.0160297192426,1540.0,27.973754667607864,10.0,0.64,0.31814599468330973,16750.97312096782
2286.494227561474,2001.9204242876217,1562.7752030650206,1550.0,27.945792478606563,10.0,0.64,0.3221062465066604,16877.97219310222
2314.400961949381,2016.7721128890712,1574.5317626327064,1560.0,27.90673438790691,10.0,0.64,0.32595950312845523,17004.94303643323
2342.4739934527543,2031.6263632848893,1586.2903501104101,1570.0,28.073031503373386,10.0,0.64,0.32976844139998995,17131.93578119243
2370.18061513253,2046.3756814625933,1597.9658735065852,1580.0,27.706621679775708,10.0,0.64,0.3333842436505904,17258.03143387112
2398.1638076052477,2061.2292050385245,1609.7238856354834,1590.0,27.983192472717747,10.0,0.64,0.3369927994916111,17385.017964863222
2426.0931010547224,2076.0795032224773,1621.479344552155,1600.0,27.9292934494747,10.0,0.64,0.3405034349466405,17511.976921163274
2454.1764391231445,2090.929459114851,1633.234532511668,1610.0,28.08333806842211,10.0,0.64,0.343975330212666,17638.93295112602
2482.2065993206324,2105.7819469755505,1644.9917247709782,1620.0,28.03016019748793,10.0,0.64,0.34735499497020184,17765.910627526566
2510.172434377726,2120.6312353122185,1656.7463842950638,1630.0,27.9658350570935,10.0,0.64,0.3506421073934376,17892.86095038669
2538.076200757082,2135.4830563766427,1668.5030487201093,1640.0,27.903766379356057,10.0,0.64,0.3538412561325981,18019.83292617718
2566.1519508126703,2150.3572038686134,1680.2773866893847,1650.0,28.075750055588287,10.0,0.64,0.35701392590929926,18146.995776245356
2594.1293944015583,2165.208177919653,1692.0333806207523,1660.0,27.977443588888036,10.0,0.64,0.36009350344566515,18273.960510704124
2622.0279638917987,2180.056271902375,1703.7870946972403,1670.0,27.898569490240334,10.0,0.64,0.3630884185828679,18400.900622730198
