,coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt,cout marginal employeur,net apres impots marginal,tx prelevement marginal,revenu net imposable,tx prelevement total
2,100.76325455802981,78.24683630254012,40,40,13.038949718764911,10.0,0.2330670632460089,432.0,0.6030298924399677
3,113.8022042767947,90.87951894744488,49.99999999999999,50,13.038949718764883,10.0,0.23306706324600723,539.9999999999999,0.5606411991951596
4,126.84115399555961,103.51220159234964,59.99999999999999,60,13.038949718764911,10.0,0.2330670632460089,647.9999999999999,0.526967406792117
5,139.88010371432452,116.14488423725442,70,70,13.038949718764911,10.0,0.2330670632460089,756.0,0.49957143195318066
6,152.91905343308943,128.7775668821592,80,80,13.038949718764911,10.0,0.2330670632460089,864.0,0.4768474025703773
7,165.95800315185434,141.41024952706394,90,90,13.038949718764911,10.0,0.2330670632460089,972.0,0.4576941256779976
8,178.99695287061922,154.04293217196872,100,100,13.038949718764883,10.0,0.23306706324600723,1080.0,0.4413312718665049
9,192.03590258938414,166.6756148168735,110.00000000000001,110,13.038949718764911,10.0,0.2330670632460089,1188.0000000000002,0.4271904445118021
10,205.07485230814902,179.30829746177824,120,120,13.038949718764883,10.0,0.23306706324600723,1296.0,0.41484780484110295
11,218.11380202691396,191.940980106683,130,130,13.03894971876494,10.0,0.23306706324601056,1404.0,0.4039808632378121
12,231.1527517456788,204.57366275158776,140,140,13.038949718764854,10.0,0.23306706324600557,1512.0,0.39433989453851626
13,244.19170146444372,217.20634539649254,150,150,13.038949718764911,10.0,0.2330670632460089,1620.0,0.3857285112457386
14,257.23065118320864,229.83902804139728,160,160,13.038949718764911,10.0,0.2330670632460089,1728.0,0.3779901451711428
15,270.26960090197355,242.47171068630206,170,170,13.038949718764911,10.0,0.2330670632460089,1836.0,0.37099844217530487
16,283.30855062073846,255.10439333120684,180,180,13.038949718764911,10.0,0.2330670632460089,1944.0,0.364650309333714
17,296.34750033950337,267.7370759761116,190,190,13.038949718764911,10.0,0.2330670632460089,2052.0,0.3588607976030468
18,309.3864500582682,280.36975862101633,199.99999999999997,200,13.038949718764854,10.0,0.23306706324600557,2159.9999999999995,0.3535592784935053
19,322.42539977703314,293.0024412659211,210,210,13.038949718764911,10.0,0.2330670632460089,2268.0,0.3486865484381152
20,335.46434949579805,305.6351239108259,220,220,13.038949718764911,10.0,0.2330670632460089,2376.0,0.3441926084525543
21,348.50329921456296,318.26780655573066,230,230,13.038949718764911,10.0,0.2330670632460089,2484.0,0.34003494222763164
22,361.54224893332787,330.90048920063543,240,240,13.038949718764911,10.0,0.2330670632460089,2592.0,0.3361771668232929
23,374.5811986520928,343.5331718455402,250,250,13.038949718764911,10.0,0.2330670632460089,2700.0,0.3325879651738809
24,387.6201483708577,356.165854490445,260,260,13.038949718764911,10.0,0.2330670632460089,2808.0,0.3292402340467514
25,400.65909808962255,368.7985371353497,270,270,13.038949718764854,10.0,0.23306706324600557,2916.0,0.3261103983726228
26,413.69804780838746,381.4312197802545,280,280,13.038949718764911,10.0,0.2330670632460089,3024.0,0.32317785524168674
27,426.7369975271523,394.0639024251592,290,290,13.038949718764854,10.0,0.23306706324600557,3132.0,0.32042451983191833
28,439.7759472459172,406.696585070064,300,300,13.038949718764911,10.0,0.2330670632460089,3240.0,0.3178344521142178
29,452.81489696468213,419.32926771496875,310,310,13.038949718764911,10.0,0.2330670632460089,3348.0,0.31539354805242015
30,465.85384668344716,431.9619503598736,320.00000000000006,320,13.038949718765025,10.0,0.23306706324601556,3456.000000000001,0.31308928266198577
31,478.89279640221196,444.5946330047783,330,330,13.038949718764798,10.0,0.23306706324600224,3564.0,0.3109104950435714
32,491.93174612097687,457.2273156496831,340,340,13.038949718764911,10.0,0.2330670632460089,3672.0,0.3088472076034985
33,504.9706958397418,469.85999829458785,350,350,13.038949718764911,10.0,0.2330670632460089,3780.0,0.30689047328188623
34,518.0096455585067,482.4926809394926,360,360,13.038949718764911,10.0,0.2330670632460089,3888.0,0.3050322458535384
